test_id,row_num,condition,victim,polluter,repo_url,commit,final_status,category,passed,attempts_used,stitches_used,stitch_succeeded,s1_prompt_tok,s1_completion_tok,s1_total_tok,s1_api_sec,a1_compile_sec,a1_stitch_prompt_tok,a1_stitch_completion_tok,a1_stitch_api_sec,a1_stitch_compile_sec,retry_prompt_tok,retry_completion_tok,retry_api_sec,retry_compile_sec,retry_stitch_prompt_tok,retry_stitch_completion_tok,retry_stitch_api_sec,retry_stitch_compile_sec,test_sec,victim_alone_sec,polluter_alone_sec,total_prompt_tok,total_completion_tok,total_tokens,total_api_sec,total_compile_sec,total_elapsed_sec
row01_undertow,1,no_repro,io.undertow.websockets.jsr.test.annotated.AnnotatedEndpointTest.testCloseReason,io.undertow.websockets.jsr.test.annotated.AnnotatedEndpointTest.testErrorHandling,https://github.com/undertow-io/undertow,d0efffad5d2034bb07525cac9b299dac72c3045d,FIXED,Fixed flakiness,Y,5,5,1,1252,376,1628,14.55,10.59,1844,388,14.82,12.84,7466,1504,43.49000000000001,44.0,7448,1538,40.989999999999995,46.709999999999994,19.94,6.8,6.51,18010,3806,21816,113.85000000000001,114.14,261.24
row01_undertow,1,with_repro,io.undertow.websockets.jsr.test.annotated.AnnotatedEndpointTest.testCloseReason,io.undertow.websockets.jsr.test.annotated.AnnotatedEndpointTest.testErrorHandling,https://github.com/undertow-io/undertow,d0efffad5d2034bb07525cac9b299dac72c3045d,COMPILE_ERROR,Compilation error,N,5,5,0,1300,376,1676,10.19,11.29,1892,380,11.11,10.92,7645,1524,34.730000000000004,47.71999999999999,7648,1511,48.19,44.93,,,,18485,3791,22276,104.22,114.85999999999999,219.07999999999998
row02_http-request,2,no_repro,com.github.kevinsawicki.http.HttpRequestTest.putWithEscapedMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,2,2,1,1055,363,1418,9.36,7.23,1686,351,8.57,7.37,1662,355,15.12,7.0,1648,346,12.37,7.61,11.56,5.75,5.74,6051,1415,7466,45.419999999999995,29.21,97.67999999999999
row02_http-request,2,with_repro,com.github.kevinsawicki.http.HttpRequestTest.putWithEscapedMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,3,2,1,1106,352,1458,9.05,7.83,,,,,3805,704,24.0,14.46,3431,740,28.770000000000003,14.89,11.97,5.96,5.91,8342,1796,10138,61.82,37.18,122.83999999999999
row03_http-request,3,no_repro,com.github.kevinsawicki.http.HttpRequestTest.putWithEscapedVarargsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,4,4,0,1032,342,1374,7.22,7.06,1598,335,10.59,7.32,4883,1002,30.21,21.0,4830,1005,26.35,20.73,,,,12343,2684,15027,74.37,56.11,130.48000000000002
row03_http-request,3,with_repro,com.github.kevinsawicki.http.HttpRequestTest.putWithEscapedVarargsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,4,4,0,1084,333,1417,12.52,7.06,1670,334,11.76,7.25,4989,1002,25.82,21.67,4986,1005,35.43,21.52,,,,12729,2674,15403,85.53,57.5,143.03
row04_http-request,4,no_repro,com.github.kevinsawicki.http.HttpRequestTest.putWithMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,5,5,0,1045,350,1395,8.14,7.15,1616,346,9.23,7.51,6582,1404,38.01,30.03,6560,1414,37.07,27.89,,,,15803,3514,19317,92.44999999999999,72.58,165.02999999999997
row04_http-request,4,with_repro,com.github.kevinsawicki.http.HttpRequestTest.putWithMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,3,3,1,1094,347,1441,9.39,7.12,1665,346,8.38,7.27,3367,690,23.7,14.34,3366,732,23.39,14.96,13.27,6.03,6.34,9492,2115,11607,64.86,43.69,134.19
row05_http-request,5,no_repro,com.github.kevinsawicki.http.HttpRequestTest.putWithVarargsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,3,3,0,1022,338,1360,8.44,7.14,1584,330,14.37,7.13,3198,665,19.99,13.95,3197,660,18.46,13.84,,,,9001,1993,10994,61.26,42.06,103.32
row05_http-request,5,with_repro,com.github.kevinsawicki.http.HttpRequestTest.putWithVarargsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,5,5,0,1072,322,1394,13.02,7.22,1618,321,10.69,7.32,6551,1285,34.0,28.98,6550,1286,34.2,28.39,,,,15791,3214,19005,91.91,71.91,163.82
